plan,district,race,votes
evers24_wsa,1,GOVDEM22,14154.956214689266
evers24_wsa,1,GOVREP22,17565.090395480227
evers24_wsa,1,GOVTOT22,32078.011299435027
evers24_wsa,1,USSDEM22,13427.004237288136
evers24_wsa,1,USSREP22,18636.00988700565
evers24_wsa,1,USSTOT22,32115.005649717514
evers24_wsa,1,WAGDEM22,14184.953389830509
evers24_wsa,1,WAGREP22,17712.05790960452
evers24_wsa,1,WAGTOT22,31905.011299435027
evers24_wsa,1,WSTDEM22,12985.024011299436
evers24_wsa,1,WSTREP22,17861.073446327682
evers24_wsa,1,WSTTOT22,31515.031073446327
evers24_wsa,10,GOVDEM22,20914
evers24_wsa,10,GOVREP22,3261
evers24_wsa,10,GOVTOT22,24357
evers24_wsa,10,USSDEM22,20964
evers24_wsa,10,USSREP22,3488
evers24_wsa,10,USSTOT22,24496
evers24_wsa,10,WAGDEM22,20571
evers24_wsa,10,WAGREP22,3506
evers24_wsa,10,WAGTOT22,24098
evers24_wsa,10,WSTDEM22,20018
evers24_wsa,10,WSTREP22,3491
evers24_wsa,10,WSTTOT22,23758
evers24_wsa,11,GOVDEM22,14243
evers24_wsa,11,GOVREP22,1636
evers24_wsa,11,GOVTOT22,16051
evers24_wsa,11,USSDEM22,14510
evers24_wsa,11,USSREP22,1735
evers24_wsa,11,USSTOT22,16273
evers24_wsa,11,WAGDEM22,14055
evers24_wsa,11,WAGREP22,1800
evers24_wsa,11,WAGTOT22,15882
evers24_wsa,11,WSTDEM22,13770
evers24_wsa,11,WSTREP22,1661
evers24_wsa,11,WSTTOT22,15642
evers24_wsa,12,GOVDEM22,14062
evers24_wsa,12,GOVREP22,3493
evers24_wsa,12,GOVTOT22,17723
evers24_wsa,12,USSDEM22,14136
evers24_wsa,12,USSREP22,3723
evers24_wsa,12,USSTOT22,17890
evers24_wsa,12,WAGDEM22,13919
evers24_wsa,12,WAGREP22,3689
evers24_wsa,12,WAGTOT22,17625
evers24_wsa,12,WSTDEM22,13572
evers24_wsa,12,WSTREP22,3534
evers24_wsa,12,WSTTOT22,17384
evers24_wsa,13,GOVDEM22,19997.394008557356
evers24_wsa,13,GOVREP22,13735.241443165442
evers24_wsa,13,GOVTOT22,33976.593173245674
evers24_wsa,13,USSDEM22,19260.83080156744
evers24_wsa,13,USSREP22,14595.515880211842
evers24_wsa,13,USSTOT22,33947.338127988834
evers24_wsa,13,WAGDEM22,19309.542576205375
evers24_wsa,13,WAGREP22,14354.911625709416
evers24_wsa,13,WAGTOT22,33680.833862990825
evers24_wsa,13,WSTDEM22,18239.8695989204
evers24_wsa,13,WSTREP22,14558.901196083514
evers24_wsa,13,WSTTOT22,33234.085984298945
evers24_wsa,14,GOVDEM22,13184.212320461163
evers24_wsa,14,GOVREP22,9749.197386483971
evers24_wsa,14,GOVTOT22,23250.589510953225
evers24_wsa,14,USSDEM22,12863.48392133317
evers24_wsa,14,USSREP22,10272.231566653552
evers24_wsa,14,USSTOT22,23200.23978340431
evers24_wsa,14,WAGDEM22,12963.88293042996
evers24_wsa,14,WAGREP22,10010.055126563579
evers24_wsa,14,WAGTOT22,23001.390582246062
evers24_wsa,14,WSTDEM22,12306.552968526925
evers24_wsa,14,WSTREP22,9852.327142497565
evers24_wsa,14,WSTTOT22,22765.01509783551
evers24_wsa,15,GOVDEM22,13743.62583424163
evers24_wsa,15,GOVREP22,18054.97683452862
evers24_wsa,15,GOVTOT22,32052.603135206846
evers24_wsa,15,USSDEM22,12930.943617439225
evers24_wsa,15,USSREP22,19001.494937876454
evers24_wsa,15,USSTOT22,31997.917453598846
evers24_wsa,15,WAGDEM22,13149.60603411557
evers24_wsa,15,WAGREP22,18543.22551270771
evers24_wsa,15,WAGTOT22,31708.708164106458
evers24_wsa,15,WSTDEM22,12108.883183745305
evers24_wsa,15,WSTREP22,18619.423910531103
evers24_wsa,15,WSTTOT22,31210.096865426618
evers24_wsa,16,GOVDEM22,14240
evers24_wsa,16,GOVREP22,1233
evers24_wsa,16,GOVTOT22,15627
evers24_wsa,16,USSDEM22,14493
evers24_wsa,16,USSREP22,1314
evers24_wsa,16,USSTOT22,15833
evers24_wsa,16,WAGDEM22,13944
evers24_wsa,16,WAGREP22,1499
evers24_wsa,16,WAGTOT22,15471
evers24_wsa,16,WSTDEM22,13611
evers24_wsa,16,WSTREP22,1425
evers24_wsa,16,WSTTOT22,15257
evers24_wsa,17,GOVDEM22,18493
evers24_wsa,17,GOVREP22,3108
evers24_wsa,17,GOVTOT22,21830
evers24_wsa,17,USSDEM22,18708
evers24_wsa,17,USSREP22,3270
evers24_wsa,17,USSTOT22,22013
evers24_wsa,17,WAGDEM22,18285
evers24_wsa,17,WAGREP22,3371
evers24_wsa,17,WAGTOT22,21693
evers24_wsa,17,WSTDEM22,17826
evers24_wsa,17,WSTREP22,3233
evers24_wsa,17,WSTTOT22,21400
evers24_wsa,18,GOVDEM22,16953
evers24_wsa,18,GOVREP22,3010
evers24_wsa,18,GOVTOT22,20152
evers24_wsa,18,USSDEM22,17054
evers24_wsa,18,USSREP22,3196
evers24_wsa,18,USSTOT22,20293
evers24_wsa,18,WAGDEM22,16669
evers24_wsa,18,WAGREP22,3295
evers24_wsa,18,WAGTOT22,19994
evers24_wsa,18,WSTDEM22,16195
evers24_wsa,18,WSTREP22,3218
evers24_wsa,18,WSTTOT22,19732
evers24_wsa,19,GOVDEM22,24084
evers24_wsa,19,GOVREP22,4451
evers24_wsa,19,GOVTOT22,28760
evers24_wsa,19,USSDEM22,24013
evers24_wsa,19,USSREP22,4823
evers24_wsa,19,USSTOT22,28884
evers24_wsa,19,WAGDEM22,23613
evers24_wsa,19,WAGREP22,4917
evers24_wsa,19,WAGTOT22,28560
evers24_wsa,19,WSTDEM22,22807
evers24_wsa,19,WSTREP22,4996
evers24_wsa,19,WSTTOT22,28265
evers24_wsa,2,GOVDEM22,11452.905054736677
evers24_wsa,2,GOVREP22,17446.616625236904
evers24_wsa,2,GOVTOT22,29233.10072849321
evers24_wsa,2,USSDEM22,10883.759893169496
evers24_wsa,2,USSREP22,18221.289363590044
evers24_wsa,2,USSTOT22,29133.456597639917
evers24_wsa,2,WAGDEM22,11533.275023378612
evers24_wsa,2,WAGREP22,17347.1905744835
evers24_wsa,2,WAGTOT22,28886.292206416136
evers24_wsa,2,WSTDEM22,10300.263987689406
evers24_wsa,2,WSTREP22,17465.168881610218
evers24_wsa,2,WSTTOT22,28576.723533246943
evers24_wsa,20,GOVDEM22,16831.17410632247
evers24_wsa,20,GOVREP22,9743.580794866186
evers24_wsa,20,GOVTOT22,26880.347926784805
evers24_wsa,20,USSDEM22,16445.284567928244
evers24_wsa,20,USSREP22,10339.04473127689
evers24_wsa,20,USSTOT22,26853.15025158609
evers24_wsa,20,WAGDEM22,16574.48224312696
evers24_wsa,20,WAGREP22,9941.281971851527
evers24_wsa,20,WAGTOT22,26544.764214978488
evers24_wsa,20,WSTDEM22,15880.66360096259
evers24_wsa,20,WSTREP22,9816.676242981113
evers24_wsa,20,WSTTOT22,26273.714256544885
evers24_wsa,21,GOVDEM22,13985.825893677533
evers24_wsa,21,GOVREP22,11566.419205133816
evers24_wsa,21,GOVTOT22,25814.6520732152
evers24_wsa,21,USSDEM22,13556.715432071758
evers24_wsa,21,USSREP22,12162.95526872311
evers24_wsa,21,USSTOT22,25782.849748413915
evers24_wsa,21,WAGDEM22,13729.517756873041
evers24_wsa,21,WAGREP22,11741.718028148473
evers24_wsa,21,WAGTOT22,25491.235785021516
evers24_wsa,21,WSTDEM22,12965.336399037411
evers24_wsa,21,WSTREP22,11735.323757018889
evers24_wsa,21,WSTTOT22,25232.28574345512
evers24_wsa,22,GOVDEM22,15416.2213504993
evers24_wsa,22,GOVREP22,18886.914618412684
evers24_wsa,22,GOVTOT22,34597.435217167375
evers24_wsa,22,USSDEM22,14639.972942700564
evers24_wsa,22,USSREP22,19816.697068048186
evers24_wsa,22,USSTOT22,34544.71162679743
evers24_wsa,22,WAGDEM22,14847.802966212204
evers24_wsa,22,WAGREP22,19502.72742423117
evers24_wsa,22,WAGTOT22,34373.530390443375
evers24_wsa,22,WSTDEM22,13807.617902709968
evers24_wsa,22,WSTREP22,19677.384966921305
evers24_wsa,22,WSTTOT22,34042.869147115656
evers24_wsa,23,GOVDEM22,21459.643265864714
evers24_wsa,23,GOVREP22,11708.895743873776
evers24_wsa,23,GOVTOT22,33363.168029220426
evers24_wsa,23,USSDEM22,20764.612807674763
evers24_wsa,23,USSREP22,12501.477801427056
evers24_wsa,23,USSTOT22,33343.04899305315
evers24_wsa,23,WAGDEM22,20794.453937418806
evers24_wsa,23,WAGREP22,12292.719903780358
evers24_wsa,23,WAGTOT22,33110.17384119916
evers24_wsa,23,WSTDEM22,19730.943488005396
evers24_wsa,23,WSTREP22,12558.960224173667
evers24_wsa,23,WSTTOT22,32673.253043277768
evers24_wsa,24,GOVDEM22,14258.024237037458
evers24_wsa,24,GOVREP22,18461.688839246595
evers24_wsa,24,GOVTOT22,32994.787683027724
evers24_wsa,24,USSDEM22,13461.118816855591
evers24_wsa,24,USSREP22,19439.553971150755
evers24_wsa,24,USSTOT22,32941.67278800635
evers24_wsa,24,WAGDEM22,13697.01713022399
evers24_wsa,24,WAGREP22,18948.233285211085
evers24_wsa,24,WAGTOT22,32660.250415435075
evers24_wsa,24,WSTDEM22,12626.919286384606
evers24_wsa,24,WSTREP22,19031.074802517294
evers24_wsa,24,WSTTOT22,32236.002370449758
evers24_wsa,25,GOVDEM22,10783.523197060174
evers24_wsa,25,GOVREP22,14032.680293982545
evers24_wsa,25,GOVTOT22,25205.599908130454
evers24_wsa,25,USSDEM22,10265.60404225999
evers24_wsa,25,USSREP22,14796.24850711989
